keys,en,ru
MARATHON_ARCHETYPE_SURVIVAL_TAGLINE,Every mistake could be your last.,Каждая ошибка может стать последней.
MARATHON_ARCHETYPE_CHAOS_TAGLINE,Random rules. Adapt or fail.,Случайные правила. Адаптируйся или проиграй.
MARATHON_ARCHETYPE_ULTIMATE_TAGLINE,The longest run. Only for the committed.,Самый длинный забег. Только для упорных.
MARATHON_DAILY_TAGLINE,Today's shared challenge for everyone.,Общий челлендж дня для всех.
MARATHON_IDEA_SPEED,Very fast songs,Очень быстрые песни
MARATHON_IDEA_JOURNEY,Complete the journey,Пройти путь
MARATHON_IDEA_BOSS,Only the hardest,Только самые сложные
MARATHON_IDEA_PRECISION,Don't miss,Не ошибайся
MARATHON_IDEA_SURVIVAL,Save your HP,Экономь HP
MARATHON_IDEA_CHAOS,Expect anything,Жди чего угодно
MARATHON_IDEA_ULTIMATE,Claim the crown,Забери корону
MARATHON_IDEA_DAILY,Today's challenge,Челлендж дня
MARATHON_ROUTE_DISPLAY_FMT,%s %s,%s %s
MARATHON_RUN_RULE_HP_CARRIES,HP carries between tracks,HP переносится между песнями
MARATHON_RUN_RULE_FIXED_MOD_FMT,Fixed modifier: %s,Фикс. мод: %s
MARATHON_RUN_RULE_RANDOM_MODS,Random modifiers may appear,Могут выпасть случайные моды
MARATHON_PREVIEW_TRACKS_FMT,%d tracks,%d песен
MARATHON_PREVIEW_BPM_FMT,Avg BPM: %d,Сред. BPM: %d
MARATHON_LENGTH_HINT_FMT,~%d min · %d–%d tracks,~%d мин · %d–%d песен
MARATHON_LENGTH_HINT_TRACKS_ONLY_FMT,~%d min · %d tracks,~%d мин · %d песен
MARATHON_LENGTH_HINT_FINALE_FMT,~%d min · %d+1 tracks,~%d мин · %d+1 песен
MARATHON_LENGTH_HINT_FINALE_RANGE_FMT,~%d min · %d–%d+1 tracks,~%d мин · %d–%d+1 песен
MARATHON_NOT_ENOUGH_SONGS_MIN_FMT,Not enough matching songs. At least %d required.,Недостаточно подходящих песен. Требуется минимум %d.
MARATHON_ROUTE_DURATION_SHORT_FMT,Need ~%s of music in the pool (currently ~%s).,Нужно ~%s музыки в пуле (сейчас ~%s).
MARATHON_ROUTE_BUILD_BLOCKED_FMT,Cannot build this route from the pool. %s,Не удалось собрать маршрут из пула. %s
MARATHON_PROGRESS_TITLE,Your progress,Ваш прогресс
MARATHON_PROGRESS_NO_ATTEMPT,Not attempted yet,Ещё не пробовали
MARATHON_PROGRESS_FIRST_GOAL,First goal,Первая цель
MARATHON_PROGRESS_COMPLETE_ROUTE_HINT,Complete the route to earn the first medal.,Пройдите маршрут для первой медали.
MARATHON_PROGRESS_BEST_FMT,Best: %s,Лучший: %s
MARATHON_PROGRESS_IN_PROGRESS,Best progress: %d%%,Лучший прогресс: %d%%
MARATHON_PROGRESS_COMPLETED,Completed,Пройден
MARATHON_PROGRESS_ALL_MEDALS,All medals earned!,Все медали получены!
MARATHON_PROGRESS_ALL_MEDALS_HINT,Try again next season for a new version.,В следующем сезоне — новая версия.
MARATHON_PROGRESS_NEXT_FMT,Until %s:,До «%s»:
MARATHON_PROGRESS_NEXT_GOAL,Next goal,Следующая цель
TIME_COUNTDOWN_DAYS_SUFFIX,d,д
MARATHON_CATALOG_FOOTER_HINT,↑↓ route · Enter start · Esc back,↑↓ маршрут · Enter старт · Esc назад
MARATHON_CATALOG_COURSES_TITLE,Routes,Маршруты
MARATHON_CATALOG_TAB_ALL,All,Все
MARATHON_CATALOG_TAB_GENRES,By genre,По жанрам
MARATHON_CATALOG_TAB_PLAYLISTS,Playlists,Плейлисты
MARATHON_CATALOG_PLAYLISTS_SOON,User playlists are coming soon.,Пользовательские плейлисты скоро.
MARATHON_CATALOG_SUMMARY_TITLE,Summary,Сводка
MARATHON_CATALOG_START_MARATHON,Start marathon,Начать марафон
MARATHON_CATALOG_LIST_READY_FMT,%d tracks · ~%s,%d треков · ~%s
MARATHON_CATALOG_LIST_LOCKED_FMT,Need more songs · %d tracks,Нужно больше песен · %d треков
MARATHON_CATALOG_SECTION_READY,Ready to play,Можно играть
MARATHON_CATALOG_SECTION_LOCKED,Need more songs,Нужно больше песен
MARATHON_CATALOG_NO_SELECTION,Pick a route,Выберите маршрут
MARATHON_CATALOG_PICK_COURSE,Select a route on the left.,Выберите маршрут слева.
MARATHON_CATALOG_HERO_SUBTITLE,Auto route from your library,Маршрут из вашей библиотеки
MARATHON_CATALOG_STAT_TRACKS_FMT,%d tracks,%d треков
MARATHON_CATALOG_STAT_DURATION_FMT,~%s total,~%s всего
MARATHON_CATALOG_STAT_DIFFICULTY_FMT,%.1f → %.1f★,%.1f → %.1f★
MARATHON_CATALOG_SUMMARY_EMPTY,Pick a route to see details.,Выберите маршрут для деталей.
MARATHON_CATALOG_CHALLENGES_TITLE,Challenges,Испытания
MARATHON_CATALOG_SUMMARY_PROGRESS_FMT,Route: %d tracks · target %s,Маршрут: %d песен · план %s
MARATHON_CATALOG_SUMMARY_LENGTH_FMT,Planned: %s,План: %s
MARATHON_CATALOG_SUMMARY_NO_BEST,Best: —,Лучший: —
MARATHON_CATALOG_SUMMARY_POOL_FMT,Pool: %d songs with charts,Пул: %d песен с чартами
MARATHON_CATALOG_SETTINGS_TITLE,Route settings,Настройки маршрута
MARATHON_ROUTE_GENRE_SUBTITLE,Genre route · rising difficulty,Жанровый маршрут · нарастающая сложность
MARATHON_ROUTE_SPRINT_SUBTITLE,Sprint · 3 tracks · quick run,Спринт · 3 трека · быстрый забег
MARATHON_ROUTE_BOSS_RUSH_SUBTITLE,Boss rush · high difficulty only,Босс-раш · только высокая сложность
MARATHON_ROUTE_SURVIVAL_SUBTITLE,Survival · steep climb to the finish,Выживание · крутой подъём к финишу
MARATHON_ROUTE_PRECISION_SUBTITLE,Precision · calm charts · accuracy focus,Точность · спокойные чарты · упор на accuracy
MARATHON_ROUTE_GENERIC_TITLE,Marathon route,Маршрут марафона
MARATHON_ROUTE_EDM_SPRINT_TITLE,EDM Sprint,EDM · Спринт
MARATHON_ROUTE_EDM_BOSS_RUSH_TITLE,EDM Boss Rush,EDM · Босс-раш
MARATHON_ROUTE_METAL_SPRINT_TITLE,Metal Sprint,Metal · Спринт
MARATHON_ROUTE_METAL_BOSS_RUSH_TITLE,Metal Boss Rush,Metal · Босс-раш
MARATHON_ROUTE_ROCK_SPRINT_TITLE,Rock Sprint,Rock · Спринт
MARATHON_ROUTE_ROCK_SURVIVAL_TITLE,Rock Survival,Rock · Выживание
MARATHON_ROUTE_INDIE_PRECISION_TITLE,Indie Precision,Indie · Точность
MARATHON_ROUTE_EDM_SURVIVAL_TITLE,EDM Survival,EDM · Выживание
MARATHON_ROUTE_METAL_SURVIVAL_TITLE,Metal Survival,Metal · Выживание
MARATHON_ROUTE_ELECTRONIC_SPRINT_TITLE,Electronic Sprint,Electronic · Спринт
MARATHON_ROUTE_BASS_BOSS_RUSH_TITLE,Bass Boss Rush,Bass · Босс-раш
MARATHON_ROUTE_POP_PRECISION_TITLE,Pop Precision,Pop · Точность
MARATHON_CATALOG_SUMMARY_RULES_FMT,Run rules: %s,Правила забега: %s
MARATHON_RUN_RULES_NONE,Standard (full HP between tracks),Стандарт (полное HP между треками)
MARATHON_RUN_RULE_HP_RECOVERY_FMT,HP recovery %s,Восстановление HP %s
MARATHON_RUN_RULE_MAX_MISSES_FMT,Max %d misses total,Не больше %d промахов за маршрут
MARATHON_RUN_RULE_MIN_ACCURACY_FMT,Min %d%% accuracy per track,Мин. %d%% accuracy на каждый трек
MARATHON_FINISH_SUBTITLE_RULE_MIN_ACCURACY,Route failed — accuracy too low on a track,Маршрут провален — accuracy на треке ниже порога
MARATHON_FINISH_SUBTITLE_RULE_MAX_MISSES,Route failed — too many misses,Маршрут провален — слишком много промахов
MARATHON_CATALOG_SETTINGS_GEN_MODES,Generation modes,Режимы генерации
MARATHON_CATALOG_SETTINGS_MODS,Modifiers,Модификаторы
MARATHON_CATALOG_SETTINGS_LANES,Lanes,Линии
MARATHON_CATALOG_GEN_POLICY_ALL,All modes,Все режимы
MARATHON_CATALOG_GEN_POLICY_SELECTED,Pick modes,Выбрать режимы
MARATHON_CATALOG_LANES_FMT,%d lanes,%d линий
MARATHON_CATALOG_SETTINGS_TRACK_ORDER,Track order,Порядок треков
MARATHON_CATALOG_TRACK_ORDER_COURSE,By route,По маршруту
MARATHON_CATALOG_TRACK_ORDER_RANDOM,Random,Случайно
MARATHON_CATALOG_SUMMARY_ORDER_COURSE,Order: rising difficulty,Порядок: нарастающая сложность
MARATHON_CATALOG_SUMMARY_ORDER_RANDOM,Order: random shuffle,Порядок: случайный
MARATHON_CATALOG_SUMMARY_REWARDS_FMT,Victory reward: +%d XP · +%d coins,За прохождение: +%d XP · +%d монет
MARATHON_CATALOG_SUMMARY_REWARDS_HINT,Victory reward: +%d XP · +%d coins,За прохождение: +%d XP · +%d монет
MARATHON_CATALOG_SUMMARY_REWARDS_MODS_FMT,Victory: +%d XP · +%d coins · %d mods/track (+%d%%),За прохождение: +%d XP · +%d монет · %d модов/трек (+%d%%)
MARATHON_CATALOG_MOD_POOL_CAPTION,Mod pool (no easing mods),Пул модов (без облегчающих)
MARATHON_CATALOG_MOD_POOL_COUNT_FMT,%d / %d selected · min %d,%d / %d выбрано · мин. %d
MARATHON_CATALOG_MOD_COUNT_CAPTION,Random mods per track,Случайных модов на трек
MARATHON_CATALOG_MOD_COUNT_FMT,%d mods,%d модов
MARATHON_CATALOG_MOD_REWARD_HINT,More mods increase the completion reward (XP and coins).,Больше модов — выше награда за прохождение маршрута (XP и монеты).
MARATHON_CATALOG_START,Start route,Начать маршрут
MARATHON_CATALOG_ROUTE_READY_FMT,%d tracks · ~%s · %d songs in pool,%d треков · ~%s · %d песен в пуле
MARATHON_CATALOG_ROUTE_LOCKED_FMT,Only %d songs (need %d) · route %d tracks,Только %d песен (нужно %d) · маршрут %d треков
MARATHON_CATALOG_DURATION_MIN_FMT,%d min,%d мин
MARATHON_CATALOG_BEST_COMPLETE,Best: completed,Лучший: пройден
MARATHON_CATALOG_BEST_RATIO_FMT,Best: %d%%,Лучший: %d%%
MARATHON_CATALOG_NOT_ENOUGH_SONGS,Not enough matching songs. At least the route minimum is required.,Недостаточно подходящих песен. Требуется минимум для маршрута.
UI_LOADING_MARATHON_CATALOG,Loading marathon catalog…,Загрузка каталога марафона…
MARATHON_TRACK_NUMBER_FMT,Track %d / %d,Трек %d / %d
MARATHON_TRACK_CLEARED_FMT,Track %d / %d cleared,Трек %d / %d пройден
MARATHON_EXIT_AFTER_TRACK,Exit after this track,Выход после этого трека
MARATHON_PAUSE_PROGRESS_FMT,Track %d / %d,Трек %d / %d
MARATHON_FINISH_TITLE,MARATHON,МАРАФОН
MARATHON_FINISH_SUBTITLE_VICTORY,Route completed!,Маршрут пройден!
MARATHON_FINISH_SUBTITLE_DEFEAT,Route failed,Маршрут не пройден
MARATHON_FINISH_SUBTITLE_EXIT,Route ended early,Маршрут завершён досрочно
MARATHON_FINISH_PROGRESS_FMT,Tracks cleared: %d / %d,Треков пройдено: %d / %d
MARATHON_FINISH_SCORE_FMT,Total score: %d,Общий счёт: %d
MARATHON_FINISH_ACCURACY_FMT,Average accuracy: %.2f%%,Средняя точность: %.2f%%
MARATHON_FINISH_NOTES_FMT,Notes hit: %d,Нот сыграно: %d
MARATHON_FINISH_RR_FMT,Series RR: %d,RR серии: %d
MARATHON_FINISH_XP_FMT,+%d XP,+%d XP
MARATHON_FINISH_CURRENCY_FMT,+%d coins,+%d монет
MARATHON_FINISH_NEW_BEST,New best route!,Новый рекорд маршрута!
MARATHON_FINISH_TO_CATALOG,TO CATALOG,В КАТАЛОГ
MARATHON_FINISH_RETRY,RETRY ROUTE,ПОВТОРИТЬ МАРШРУТ
MARATHON_BADGE_BRONZE,Bronze,Бронза
MARATHON_BADGE_SILVER,Silver,Серебро
MARATHON_BADGE_GOLD,Gold,Золото
MARATHON_BADGE_BRONZE_GENERIC,Route cleared,Маршрут пройден
MARATHON_BADGE_SILVER_GENERIC,Strong run,Сильный забег
MARATHON_BADGE_GOLD_IRON_HANDS,Iron Hands,Железные руки
MARATHON_BADGE_GOLD_PRECISION,Precision Master,Мастер точности
MARATHON_BADGE_GOLD_MIRROR,Mirror Master,Мастер зеркала
MARATHON_BADGE_GOLD_HIDDEN,Hidden Master,Мастер скрытых нот
MARATHON_BADGE_COND_COMPLETE,Finish the route,Пройти маршрут
MARATHON_BADGE_COND_AVG_85,Avg accuracy ≥ 85%,Средняя точность ≥ 85%
MARATHON_BADGE_COND_AVG_90,Avg accuracy ≥ 90%,Средняя точность ≥ 90%
MARATHON_BADGE_COND_PERFECT,No misses on the route,Без промахов за маршрут
MARATHON_BADGE_COND_IRON_HANDS,Keep HP ≥ 40% after every track,Держать HP ≥ 40% после каждого трека
MARATHON_BADGE_COND_ENCORE,Avg accuracy ≥ 95%,Средняя точность ≥ 95%
MARATHON_BADGE_COND_PRECISION,Avg accuracy ≥ 92%,Средняя точность ≥ 92%
MARATHON_BADGE_COND_MIRROR,Complete with Mirror on every track,Пройти с «Зеркалом» на каждом треке
MARATHON_BADGE_COND_HIDDEN,Complete with Hidden on every track,Пройти со «Скрытыми» на каждом треке
MARATHON_BADGE_PREVIEW_NONE,Badges: finish the route for Bronze,Бейджи: бронза за прохождение
MARATHON_FINISH_BADGES_FMT,Badges: %s,Бейджи: %s
MARATHON_FINISH_BADGES_NEW_FMT,New badge: %s · All earned: %s,Новый бейдж: %s · Всего: %s
MARATHON_CATALOG_SUMMARY_BADGES_FMT,Badges: %s,Бейджи: %s
MARATHON_CATALOG_SUMMARY_BADGES_EARNED_FMT,Earned: %s · Goals: %s,Получено: %s · Цели: %s
MARATHON_CATALOG_BEST_COMPLETE_BADGE_FMT,Best: completed · %s,Лучший: пройден · %s
MARATHON_CATALOG_BEST_RATIO_BADGE_FMT,Best: %d%% · %s,Лучший: %d%% · %s
MARATHON_CATALOG_MOD_LOCKED_HINT,Route modifiers are fixed by this challenge.,Модификаторы маршрута зафиксированы испытанием.
MARATHON_CATALOG_MOD_LOCKED_FMT,Fixed modifiers: %s,Фиксированные моды: %s
MARATHON_CATALOG_SUMMARY_REWARDS_LOCKED_FMT,Victory: +%d XP · +%d coins · fixed modifiers,За прохождение: +%d XP · +%d монет · фикс. моды
MARATHON_ROUTE_ROCK_MIRROR_TITLE,Rock Mirror Challenge,Rock · Зеркало
MARATHON_ROUTE_EDM_HIDDEN_TITLE,EDM Hidden Challenge,EDM · Скрытые
MARATHON_ROUTE_MIRROR_CHALLENGE_SUBTITLE,Modifier challenge · Mirror on every track,Испытание · «Зеркало» на каждом треке
MARATHON_ROUTE_HIDDEN_CHALLENGE_SUBTITLE,Modifier challenge · Hidden on every track,Испытание · «Скрытые» на каждом треке
MARATHON_SUMMARY_BADGES_TITLE,Route badges,Бейджи маршрута
MARATHON_SUMMARY_RULES_TITLE,Run rules,Правила забега
MARATHON_SUMMARY_BADGE_EARNED,Earned,Получен
MARATHON_SUMMARY_BADGE_LOCKED,Not yet,Ещё нет
MARATHON_CATALOG_DIFFICULTY_LOCKED_FMT,Difficulty locked by route: %.1f → %.1f★,Сложность задана маршрутом: %.1f → %.1f★
MARATHON_BADGE_PLATINUM,Platinum,Платина
MARATHON_BADGE_LEGEND,Legend,Легенда
MARATHON_MEDAL_NAME_ROUTE_CLEAR,Route Clear,Прохождение
MARATHON_MEDAL_NAME_STEADY_RUN,Steady Run,Уверенный забег
MARATHON_MEDAL_NAME_ROUTE_MASTER,Route Master,Мастер маршрута
MARATHON_MEDAL_NAME_SHARP_SHOOTER,Sharp Shooter,Меткий стрелок
MARATHON_MEDAL_NAME_IRON_HANDS,Iron Hands,Железные руки
MARATHON_MEDAL_NAME_PRECISION_MASTER,Precision Master,Мастер точности
MARATHON_MEDAL_NAME_MIRROR_MASTER,Mirror Master,Мастер зеркала
MARATHON_MEDAL_NAME_HIDDEN_MASTER,Hidden Master,Мастер скрытых нот
MARATHON_MEDAL_NAME_ENCORE,Encore,На грани
MARATHON_MEDAL_NAME_FLAWLESS,Flawless,Безупречно
MARATHON_MEDAL_NAME_ELITE,Elite,Элита
MARATHON_MEDAL_NAME_LEGEND,Legend,Легенда
MARATHON_MEDAL_DESC_COMPLETE,Finish the route,Пройти маршрут до конца
MARATHON_MEDAL_DESC_AVG_85,Average accuracy at least 85%,Средняя точность не ниже 85%
MARATHON_MEDAL_DESC_AVG_90,Average accuracy at least 90%,Средняя точность не ниже 90%
MARATHON_MEDAL_DESC_PERFECT,No missed notes on the whole route,Ни одного промаха за весь маршрут
MARATHON_MEDAL_DESC_IRON_HANDS,Keep HP at or above 40% after every track,Держать HP не ниже 40% после каждого трека
MARATHON_MEDAL_DESC_ENCORE,Average accuracy at least 95%,Средняя точность не ниже 95%
MARATHON_MEDAL_DESC_PRECISION,Average accuracy at least 92%,Средняя точность не ниже 92%
MARATHON_MEDAL_DESC_MIRROR,Complete the route with Mirror active on every track,Пройти маршрут с модом «Зеркало» на каждом треке
MARATHON_MEDAL_DESC_HIDDEN,Complete the route with Hidden active on every track,Пройти маршрут с модом «Скрытые» на каждом треке
MARATHON_CATALOG_TAB_DAILY,Daily,Сегодня
MARATHON_CATALOG_TAB_GENRES_LOCKED,Complete any route to unlock,Пройдите любой маршрут для открытия
MARATHON_DAILY_TITLE,Daily Route,Маршрут дня
MARATHON_DAILY_SUBTITLE,One shared challenge for everyone today,Общий челлендж на сегодня
MARATHON_DAILY_SUMMARY_FMT,%s · %s · %s,%s · %s · %s
MARATHON_DAILY_TAB_HINT,Today's route is the same for everyone. Modifiers are locked.,Маршрут дня один для всех. Моды зафиксированы.
MAIN_DAILY_MARATHON_TITLE,Daily Marathon,Марафон дня
MAIN_DAILY_MARATHON_DATE_FMT,Today · %s,Сегодня · %s
MAIN_DAILY_MARATHON_PLAY,Play daily,Играть
MAIN_DAILY_MARATHON_DETAILS,Details,Подробнее
MAIN_DAILY_MARATHON_STATUS_OPEN,Not completed yet,Ещё не пройден
MAIN_DAILY_MARATHON_STATUS_DONE,Done · new route tomorrow,Пройден · завтра новый маршрут
MAIN_LAST_TRACK_EMPTY,Play a track to see it here,Сыграйте трек — он появится здесь
MAIN_HUB_PROGRESS,Your progress,Ваш прогресс
MAIN_HUB_NEXT_LEVEL,To next level,До следующего уровня
MAIN_HUB_MEDALS_TOTAL,Track medals collected,Медалей на треках
MAIN_NEAREST_ACHIEVEMENT,Nearest achievement,Ближайшее достижение
MAIN_NEAREST_ACHIEVEMENT_EMPTY,All achievements unlocked!,Все достижения получены!
MAIN_ACTIVITY_TITLE,Recent activity,Недавняя активность
MAIN_ACTIVITY_EMPTY,Nothing recent yet,Пока нет событий
MAIN_ACTIVITY_SESSION,Last score: %s — %s · %s,Последняя оценка: %s — %s · %s
MAIN_ACTIVITY_DAILY,Last daily quest: %s,Последнее ежедневное задание: %s
MAIN_ACTIVITY_ACHIEVEMENT,Last achievement: %s,Последнее достижение: %s
MAIN_ACTIVITY_GENERATION,Last chart generation: %s — %s · %s,Последняя генерация: %s — %s · %s
MAIN_ACTIVITY_RECORD,Last personal record: %s — %s · %d RR,Последний рекорд: %s — %s · %d RR
TIME_TODAY,Today,Сегодня
TIME_AGO_JUST_NOW,Just now,Только что
TIME_AGO_MINUTES,%d min ago,%d мин. назад
TIME_AGO_HOURS,%d h ago,%d ч. назад
TIME_AGO_YESTERDAY,Yesterday,Вчера
TIME_AGO_DAYS,%d d ago,%d д. назад
MAIN_TIP_TITLE,Tip of the day,Совет дня
MAIN_TIP_COMBO_CHAIN,Hits in a row without misses grow your combo and boost your score.,Попадания подряд без промахов наращивают комбо и повышают счёт.
MAIN_TIP_PERFECT_COMBO,Hits in a row without misses grow your combo and boost your score.,Попадания подряд без промахов наращивают комбо и повышают счёт.
MAIN_TIP_GENERATE_NOTES,Generate charts for your tracks before playing — auto BPM detection helps a lot!,Сгенерируйте карты для своих треков перед игрой — автоопределение BPM сильно помогает!
MAIN_TIP_DAILY_QUESTS,Complete daily quests for bonus diamonds every day.,Выполняйте ежедневные задания — каждый день бонусные алмазы.
MAIN_TIP_SHOP_COLLECTIONS,Shop collections bundle matching hit sounds and particle effects.,Коллекции в магазине собирают сочетающиеся звуки попаданий и частицы.
MAIN_TIP_CALIBRATION,Calibrate audio offset in Settings if notes feel early or late.,"Откалибруйте смещение звука в настройках, если ноты кажутся раньше или позже."
MAIN_TIP_MODIFIERS,Modifiers change difficulty and rewards — try them on familiar tracks.,Модификаторы меняют сложность и награды — попробуйте на знакомых треках.
MAIN_TIP_ENDLESS,Endless mode is a great warm-up and a steady way to earn XP.,Бесконечный режим — хорошая разминка и стабильный способ заработать XP.
MAIN_TIP_LIBRARY,Import your own tracks into the Library and generate charts for them.,Импортируйте свои треки в библиотеку и генерируйте для них карты.
MAIN_TIP_PROFILE,Your Profile shows accuracy trends and personal records.,В профиле — тренды точности и личные рекорды.
MAIN_TIP_PRACTICE,Replay tracks you've cleared to chase higher grades and scores.,Переигрывайте знакомые треки ради более высоких оценок и счёта.
MAIN_TIP_HELP,Press ? on most screens to open context help.,На большинстве экранов ? открывает контекстную справку.
MAIN_TIP_HELP_F1,Help is in the main menu (? button) or press F1 while paused.,Справка — кнопка ? в главном меню или F1 на экране паузы.
HUD_LEVEL,Level,Уровень
MISC_GEN_SCOPE,Chart readiness,Готовность чартов
MISC_GEN_SCOPE_AXIS_GOALS,Goals,Цели
MISC_GEN_SCOPE_AXIS_DIFFS,Difficulties (Arcade),Сложности (Аркада)
MISC_GEN_SCOPE_AXIS_INSTRUMENTS,Instruments,Инструменты
MISC_GEN_SCOPE_EXPAND_GOALS,Expand goals,Расширить цели
MISC_GEN_SCOPE_EXPAND_DIFFS,Expand difficulties,Расширить сложности
MISC_GEN_SCOPE_EXPAND_INSTRUMENTS,Expand instruments,Расширить инструменты
MISC_GEN_SCOPE_CURRENT,Current goal & difficulty,Текущие цель и сложность
MISC_GEN_SCOPE_GOAL_ALL_DIFF,"Current goal, all difficulties (3)","Текущая цель, все сложности (3)"
MISC_GEN_SCOPE_DIFF_ALL_GOAL,"Current difficulty, all goals (2)","Текущая сложность, все цели (2)"
MISC_GEN_SCOPE_ALL,All goals & difficulties (6),Все цели и сложности (6)
MISC_SHOW_GEN_NOTIFS,Show generation notifications,Показывать уведомления генерации
MISC_SERVER_LOCATION,Generation server,Сервер генерации
MISC_SERVER_LOCAL,Local (127.0.0.1),Локальный (127.0.0.1)
MISC_SERVER_NETWORK,Network (another PC),Сеть (другой ПК)
MISC_SERVER_HOST,Server host,Адрес сервера
MISC_SERVER_PORT,Port,Порт
MISC_SONGS_FOLDER,Songs folder,Папка с песнями
MISC_CHOOSE_FOLDER,Choose…,Выбрать…
MISC_NOTES_FOLDER_LABEL,Notes folder,Папка нот
MISC_NOTES_FOLDER_TOOLTIP,"Folder for generated chart files (.rf). Default: AppData. You can point this to another drive.","Папка сгенерированных чартов (.rf). По умолчанию — AppData. Можно указать другой диск."
MISC_NOTES_FOLDER_CHOOSE_TOOLTIP,"Choose where generated notes are stored.","Выбрать, где хранятся сгенерированные ноты."
MISC_SHOW_CHART_ID,Show chart ID in song details,Показывать ID чарта в карточке песни
MISC_SHOW_CHART_ID_TOOLTIP,"Shows a short hash for the selected song. Matches note filenames on disk.","Показывает короткий hash выбранной песни. Совпадает с именем файлов нот на диске."
DLG_CHANGE_NOTES_FOLDER_TEXT,"Notes in the old folder stay there. Copy them manually or regenerate charts.","Ноты в старой папке останутся на месте. Скопируйте их вручную или перегенерируйте чарты."
DLG_CHANGE_SONGS_FOLDER_TEXT,"Tracks outside the new folder will stay in metadata. Save the new path, cancel, or remove old entries.","Записи треков вне новой папки останутся в метаданных. Сохраните новый путь, отмените смену или удалите старые записи."
SONG_CHART_ID,Chart ID: %s,ID чарта: %s
SONG_CHART_ID_TOOLTIP,"Click to copy chart folder ID","Нажмите, чтобы скопировать ID папки чарта"
SONG_CHART_ID_COPIED,Chart ID copied,ID чарта скопирован
MISC_SCAN_SONGS,Scan songs,Сканировать песни
MISC_SCAN_SONGS_ADDED,Added %d song(s).,Добавлено песен: %d
MISC_SCAN_SONGS_NONE,No new songs found.,Новых песен не найдено.
MISC_LIBRARY_SCAN_SECTION,Library scan,Сканирование
MISC_LIBRARY_LAST_SCAN,Last scan: %s,Последнее сканирование: %s
MISC_LIBRARY_LAST_SCAN_NEVER,Never scanned,Ещё не сканировали
MISC_RESET_BPM_CACHE,Reset BPM cache,Сбросить кэш BPM
MISC_CLEAR_NOTES,Clear notes folder,Очистить папку с нотами
MISC_RESET_ALL_SETTINGS,Reset all settings,Сбросить все настройки
MISC_RESET_PROFILE,Reset profile statistics,Сбросить статистику профиля
MISC_CLEAR_USER_PATHS,Clear user song paths,Очистить пути пользовательских песен
MISC_DEBUG_MENU,Enable debug menu,Включить отладочное меню
SOUND_VOLUME,Volume,Громкость
SOUND_VOL_MUSIC,Music volume,Громкость музыки
SOUND_VOL_MENU,Menu music volume,Громкость музыки в меню
SOUND_VOL_SFX,Sound effects volume,Громкость звуков
SOUND_VOL_HIT,Hit sounds volume,Громкость нажатий
SOUND_VOL_METRONOME,Metronome volume,Громкость метронома
SOUND_VOL_PREVIEW,Preview volume,Громкость предпросмотра
SOUND_VOL_MUSIC_TOOLTIP,"Volume of the song while playing a level (and on victory/defeat screens).","Громкость песни во время уровня (и на экранах победы/поражения)."
SOUND_VOL_MENU_TOOLTIP,"Background music in the main menu and other screens when no level track is playing.","Фоновая музыка в главном меню и на экранах, где не играет трек уровня."
SOUND_VOL_SFX_TOOLTIP,"Interface sounds: buttons, menus, shop, modifiers, toasts.","Звуки интерфейса: кнопки, меню, магазин, модификаторы, уведомления."
SOUND_VOL_HIT_TOOLTIP,"Kick/hit samples when you press lanes during gameplay (from shop kick items).","Звуки удара по линиям во время игры (кики из магазина)."
SOUND_VOL_METRONOME_TOOLTIP,"Metronome clicks during audio calibration only. Not used during normal gameplay.","Щелчки метронома только во время калибровки звука. В обычной игре не используется."
SOUND_VOL_PREVIEW_TOOLTIP,"Track preview on the song library screen (15 s highlight or full track).","Предпрослушивание трека в библиотеке песен (фрагмент 15 с или вся песня)."
SOUND_PREVIEW_MODE_LABEL,Track preview,Предпросмотр трека
SOUND_PREVIEW_MODE_SNIPPET,15 s highlight (loudest part),15 с — самый громкий фрагмент
SOUND_PREVIEW_MODE_FULL,Full track,Вся песня
SOUND_CALIBRATION,Timing calibration,Калибровка тайминга
SOUND_OFFSET_MS,Offset: %d ms,Оффсет: %d мс
SOUND_OFFSET_TITLE,Current offset,Текущее смещение
SOUND_OFFSET_HINT,Result of tap calibration,Результат тап-калибровки
SOUND_LATENCY_TITLE,Output delay,Задержка вывода
SOUND_LATENCY_HINT,Engine estimate — compensate via calibration,Оценка движка — компенсируйте калибровкой
SOUND_CALIB_CARD_TITLE,Calibration,Калибровка
SOUND_CALIB_CARD_HINT,Tap lane 0 in time with the metronome,Тапайте линию 0 в такт метроному
SOUND_HINT_OUTPUT_LATENCY,Output delay affects rhythm feel. Calibrate if notes seem early or late.,Задержка вывода влияет на ритм. Откалибруйтесь если ноты кажутся раньше или позже.
SOUND_MUTE_DESC,Mutes audio while the window is unfocused,Глушит звук когда окно не в фокусе
SOUND_PREVIEW_DESC,How track preview plays in the library,Как играет превью в библиотеке
SOUND_START_CALIBRATION,Start calibration,Начать калибровку
SOUND_STOP_CALIBRATION,Stop calibration,Остановить калибровку
SOUND_RESET_CALIBRATION,Reset calibration,Сбросить калибровку
SOUND_CALIB_STATUS,"%d taps remaining\nPress %s in time with the metronome\nEsc — cancel calibration","Осталось %d нажатий\nНажимайте %s в такт метронома\nEsc — выйти из калибровки"
