keys,en,ru
HELP_how_to_play_CONTENT,"[flow linear]
music.svg|primary|Song
metronome.svg|teal|BPM
settings-2.svg|sky|Instrument · goal · difficulty
sparkles.svg|mint|Notes
circle-play.svg|play|Play
[/flow]

[showcase hit_window]

In the [color=#{sky}]song list[/color]:
1. [color=#{teal}]Detect BPM[/color] — if tempo is not set yet.
2. [color=#{primary}]Generation settings[/color] — instrument (percussion / bass), goal (Original / Arcade), difficulty, lane count.
3. [color=#{mint}]Generate notes[/color].
4. [color=#{play}]Play[/color].
[color=#{play}]Double-click[/color] on a track starts the level when notes are ready.","[flow linear]
music.svg|primary|Песня
metronome.svg|teal|BPM
settings-2.svg|sky|Инструмент · цель · сложность
sparkles.svg|mint|Ноты
circle-play.svg|play|Играть
[/flow]

[showcase hit_window]

В [color=#{sky}]списке песен[/color]:
1. [color=#{teal}]Вычислить BPM[/color] — если темп ещё не определён.
2. [color=#{primary}]Настройки генерации[/color] — инструмент (перкуссия / бас), цель (Оригинал / Аркада), сложность, число линий.
3. [color=#{mint}]Сгенерировать ноты[/color].
4. [color=#{play}]Играть[/color].
[color=#{play}]Двойной щелчок[/color] по треку запускает уровень при готовых нотах."
HELP_bpm_scroll_TITLE,Does BPM affect note scroll speed?,Влияет ли BPM на скорость падения нот?
HELP_bpm_scroll_SUMMARY,In short: BPM does not change scroll speed — only note density over time.,Коротко: BPM не меняет скорость скролла — только плотность нот по времени.
HELP_bpm_scroll_CONTENT,"[showcase note_speed]\n\nNot directly: scroll speed is set by [color=#{primary}]Note scroll speed[/color] ([color=#{sky}]Settings → Graphics[/color], usually 6 to 20). At high BPM, notes in the pattern may be closer together in time, so the level [color=#{teal}]feels[/color] faster even though scroll speed does not change.","[showcase note_speed]\n\nНапрямую нет: скорость падения задаётся настройкой [color=#{primary}]«Скорость движения нот»[/color] ([color=#{sky}]Настройки → Графика[/color], обычно от 6 до 20). При высоком BPM ноты в паттерне могут стоять плотнее по времени, поэтому уровень [color=#{teal}]ощущается[/color] быстрее, хотя скорость прокрутки не меняется."
HELP_speed_audio_TITLE,How to adjust scroll speed and audio delay?,Как настроить скорость и задержку звука?
HELP_speed_audio_CONTENT,"[showcase note_speed]

Scroll speed is set by [color=#{primary}]Note scroll speed[/color] in [color=#{sky}]Settings → Graphics[/color].
Systematic hit offset is corrected via [color=#{teal}]Audio calibration[/color] in [color=#{sky}]Settings → Audio[/color] (Timing calibration); the offset is computed from metronome taps.","[showcase note_speed]

Скорость прокрутки задаётся параметром [color=#{primary}]«Скорость движения нот»[/color] в [color=#{sky}]Настройки → Графика[/color].
Систематическое смещение попаданий корректируется через [color=#{teal}]«Калибровку аудио»[/color] в [color=#{sky}]Настройки → Звук[/color] (блок «Калибровка тайминга»); оффсет рассчитывается по нажатиям в такт метронома."
HELP_scoring_TITLE,How are score and combo calculated?,Как рассчитываются очки и комбо?
HELP_scoring_SUMMARY,In short: score from hits × combo; XP and currency use the modifier multiplier.,Коротко: очки за попадания × комбо; XP и валюта учитывают множитель модификаторов.
HELP_scoring_CONTENT,"[showcase scoring]\n\nHits award points: [color=#{perfect}]PERFECT[/color] — 100, [color=#{good}]GOOD[/color] — 50 (both multiplied by combo multiplier). Base windows: ±0.05 s perfect, ±0.15 s good (modifiers can change them).\nCombo multiplier grows every 10 hits (max [color=#{primary}]×4.0[/color]). A [color=#{danger}]miss[/color] resets combo. Victory XP/currency use the [color=#{teal}]modifier multiplier[/color] if active.","[showcase scoring]\n\nЗа попадание начисляются очки: [color=#{perfect}]ИДЕАЛЬНО[/color] — 100, [color=#{good}]ХОРОШО[/color] — 50 (оба умножаются на текущий множитель комбо). Базовые окна: ±0,05 с для идеала и ±0,15 с для «хорошо» (модификаторы могут их менять).\nМножитель комбо растёт каждые 10 успешных попаданий подряд (максимум [color=#{primary}]×4,0[/color]). [color=#{danger}]Промах[/color] сбрасывает комбо. На экране победы XP и валюта учитывают [color=#{teal}]множитель модификаторов[/color], если он был активен."
HELP_SEC_library_TITLE,Track Library,Библиотека треков
HELP_edit_mode_TITLE,How to use edit mode?,Как пользоваться режимом редактирования?
HELP_edit_mode_CONTENT,"In the song list, press [color=#{primary}]Edit[/color] — the button will show [color=#{teal}]Edit (ON)[/color]. While the mode is active, [color=#{sky}]double-click[/color] the title, artist, year, BPM, main genre, or cover to edit. Changes are saved in track metadata. During background analysis, some fields may be temporarily unavailable.","В списке песен нажмите [color=#{primary}]«Редактировать»[/color] — кнопка покажет [color=#{teal}]«Редактировать (ВКЛ)»[/color]. Пока режим активен, [color=#{sky}]двойной щелчок[/color] по названию, исполнителю, году, BPM, основному жанру или обложке открывает правку. Изменения сохраняются в метаданных трека. Во время фонового анализа часть полей может быть временно недоступна."
HELP_add_music_TITLE,How to add your own music?,Как добавить свою музыку?
HELP_add_music_CONTENT,"[flow linear]
folder-open.svg|sky|Music folder
folder-search.svg|teal|Scan
metronome.svg|primary|BPM
sparkles.svg|mint|Notes
[/flow]

[color=#{primary}]MP3, OGG, or WAV[/color] files go into the songs folder. The path is set in [color=#{slate}]Settings → Library[/color]. After [color=#{teal}]Scan songs[/color], new tracks appear in the library. List preview supports MP3 and WAV.","[flow linear]
folder-open.svg|sky|Папка с музыкой
folder-search.svg|teal|Сканировать
metronome.svg|primary|BPM
sparkles.svg|mint|Ноты
[/flow]

Файлы [color=#{primary}]MP3, OGG или WAV[/color] помещаются в папку с песнями. Путь задаётся в [color=#{slate}]Настройки → Библиотека[/color]. После [color=#{teal}]«Сканировать песни»[/color] новые треки появляются в библиотеке. Предпрослушивание в списке поддерживает MP3 и WAV."
HELP_SEC_progress_TITLE,Progress and Shop,Прогресс и магазин
HELP_xp_TITLE,What do levels and XP give you?,Что дают уровни и опыт (XP)?
HELP_xp_CONTENT,"[showcase progress_xp]

Clearing levels awards [color=#{purple}]experience[/color]. Raising [color=#{cat_lvl}]profile level[/color] unlocks some shop items ([color=#{skin}]note skins[/color], [color=#{kick}]hit sounds[/color], [color=#{lines}]line highlights[/color], [color=#{particles}]hit particles[/color]). Maximum level is [color=#{primary}]100[/color].","[showcase progress_xp]

За прохождение уровней начисляется [color=#{purple}]опыт[/color]. Повышение [color=#{cat_lvl}]уровня профиля[/color] открывает часть предметов магазина ([color=#{skin}]скины нот[/color], [color=#{kick}]звуки удара[/color], [color=#{lines}]подсветка линий[/color], [color=#{particles}]частицы хита[/color]). Максимальный уровень — [color=#{primary}]100[/color]."
HELP_currency_TITLE,What is in-game currency for?,Зачем нужна внутриигровая валюта?
HELP_currency_CONTENT,"[showcase progress_currency]\n\nCurrency is earned from clearing songs and completing [color=#{cat_daily}]daily quests[/color]. You can spend it in the [color=#{primary}]shop[/color] on cosmetics: [color=#{skin}]note skins[/color], [color=#{lines}]line highlights[/color], and [color=#{kick}]hit sounds[/color] and [color=#{particles}]hit particles[/color].","[showcase progress_currency]\n\nВалюта начисляется за прохождение песен и выполнение [color=#{cat_daily}]ежедневных заданий[/color]. Её можно потратить в [color=#{primary}]магазине[/color] на косметику: [color=#{skin}]скины нот[/color], [color=#{lines}]подсветку линий[/color] и [color=#{kick}]звуки удара[/color], [color=#{particles}]частицы хита[/color]."
HELP_shop_items_TITLE,What do shop items do?,В чём смысл предметов из магазина?
HELP_shop_items_CONTENT,[showcase shop_categories]\n\nItems are [color=#{sky}]cosmetics and sound[/color] (no direct difficulty bonus):\n1. [color=#{skin}]Note skins[/color] — note appearance.\n2. [color=#{kick}]Hit sounds[/color] — hit SFX (kick cards show a waveform preview).\n3. [color=#{lines}]Line highlights[/color] — lane styling.\n4. [color=#{particles}]Hit particles[/color] — burst on hit; click the preview area on the card to test.,[showcase shop_categories]\n\nПредметы сами по себе не меняют сложность — это [color=#{sky}]косметика и звук[/color]:\n1. [color=#{skin}]Скины нот[/color] — внешний вид нот на линиях.\n2. [color=#{kick}]Звуки удара[/color] — звук при успешном попадании (в магазине есть превью-волна).\n3. [color=#{lines}]Подсветка линий[/color] — оформление подсветки дорожек.\n4. [color=#{particles}]Частицы хита[/color] — вспышка при попадании; превью — клик по области картинки в карточке.
HELP_shop_unlock_TITLE,How do you unlock shop items?,Как получают предметы в магазине?
HELP_shop_unlock_CONTENT,"[showcase progress_unlocks]\n\nOne item can unlock in several ways:\n1. [color=#{mint}]For currency[/color] — buy with earned coins.\n2. [color=#{cat_ach}]For achievements[/color] — free when the condition is met.\n3. [color=#{cat_lvl}]For level[/color] — available at the required profile level.\n4. [color=#{cat_daily}]For daily quests[/color] — reward for completed quest total.\n5. [color=#{teal}]For medals[/color] — threshold by [color=#{teal}]collected track medals[/color]; press Open, then Use. Medals are not spent.",[showcase progress_unlocks]\n\nОдин предмет может открываться разными способами:\n1. [color=#{mint}]За валюту[/color] — покупка за заработанные монеты.\n2. [color=#{cat_ach}]За достижения[/color] — бесплатно при выполнении условия.\n3. [color=#{cat_lvl}]За уровень[/color] — доступ при нужном уровне профиля.\n4. [color=#{cat_daily}]За ежедневные задания[/color] — награда за накопленное число выполненных квестов.\n5. [color=#{teal}]За медали[/color] — порог по [color=#{teal}]собранным медалям[/color] на треках; после «Открыть» предмет можно использовать. Медали при этом не списываются.
HELP_daily_TITLE,How do daily quests work?,Как работают ежедневные задания?
HELP_daily_CONTENT,"[showcase daily_quests]\n\nEach day you get [color=#{sky}]3 random quests[/color] (for example, reach a combo or play several songs). Completing each one pays [color=#{teal}]currency[/color] immediately. Progress is shown in the [color=#{primary}]main menu[/color].","[showcase daily_quests]\n\nКаждый день выдаётся [color=#{sky}]3 случайных задания[/color] (например, набрать комбо или сыграть несколько песен). За выполнение каждого сразу начисляется [color=#{teal}]валюта[/color]. Прогресс виден в [color=#{primary}]главном меню[/color]."
HELP_achievements_TITLE,How do achievements work?,Как работают достижения?
HELP_achievements_CONTENT,"[showcase achievement_categories]\n\nThe game has [color=#{primary}]128 achievements[/color]: from simple (first song) to hard (modifiers, medals, difficult charts, genre mastery, Rhythm Rating). Some unlock [color=#{cat_ach}]exclusive items[/color]. There is a dedicated [color=#{sky}]Modifiers[/color] category. Runs with [color=#{slate}]autoplay[/color] do not count toward modifier achievements.","[showcase achievement_categories]\n\nВ игре [color=#{primary}]128 достижений[/color]: от простых (первая песня) до сложных (модификаторы, медали, сложные чарты, мастерство жанров, Rhythm Rating). Часть достижений открывает [color=#{cat_ach}]эксклюзивные предметы[/color]. Есть отдельная категория [color=#{sky}]«Модификаторы»[/color]. Забеги с [color=#{slate}]автопилотом[/color] не засчитываются в модификаторные достижения."
HELP_gen_confirm_TITLE,Regeneration confirmation,Подтверждение повторной генерации
HELP_gen_confirm_CONTENT,"In [color=#{sky}]Settings → Generation[/color] you can enable prompts before re-running BPM or generation. When generating several goals/difficulties at once, the game asks: rebuild everything or only missing files.",В [color=#{sky}]Настройки → Генерация[/color] можно включить запрос перед повторным BPM или генерацией. При массовой генерации (несколько целей/сложностей) игра спросит: пересоздать всё или только недостающие файлы.
HELP_gen_scope_setting_TITLE,What does “Chart readiness” do?,Что делает настройка «Готовность чартов»?
HELP_gen_scope_setting_SUMMARY,"In short: icon rows for instruments, goals, and difficulties; Generate notes queues that product for the song. Presets are separate.","Коротко: ряды иконок инструментов, целей и сложностей; «Сгенерировать ноты» ставит в очередь это произведение для песни. Пресеты отдельно."
HELP_gen_scope_setting_CONTENT,"In [color=#{sky}]Settings → Generation[/color], [color=#{primary}]Chart readiness[/color] decides when a track counts as **ready** (green highlight, active [color=#{play}]Play[/color]) and which charts [color=#{primary}]Generate notes[/color] / mass queue request.

Three icon rows — [color=#{sky}]instruments[/color], [color=#{teal}]goals[/color], [color=#{mint}]difficulties[/color]:
· Toggle icons on/off (tooltip on hover; difficulty tips show Original / Arcade names, e.g. Readable / Medium).
· At least one icon must stay on in each row.
· For one song, Generate notes queues the cartesian product of the selected icons.
· Example: only Bass + Original + Readable → one chart. More icons on → those extra variants for the same song too.

[callout info][color=#{purple}]Presets[/color] are separate — each slot has tag [color=#{muted}]_p01[/color]…[color=#{muted}]_p10[/color]. The “Notes ready” library filter follows the same logic.[/callout]","В [color=#{sky}]Настройки → Генерация[/color] [color=#{primary}]«Готовность чартов»[/color] решает, когда трек **готов** (зелёная подсветка, активная [color=#{play}]«Играть»[/color]) и какие чарты запросит [color=#{primary}]«Сгенерировать ноты»[/color] / массовая очередь.

Три ряда иконок — [color=#{sky}]инструменты[/color], [color=#{teal}]цели[/color], [color=#{mint}]сложности[/color]:
· Включайте/выключайте иконки (подсказка при наведении; у сложностей — имена Оригинал / Аркада, напр. Читаемая / Средняя).
· В каждом ряду хотя бы одна иконка должна остаться включённой.
· Для одной песни «Сгенерировать ноты» ставит в очередь декартово произведение выбранных иконок.
· Пример: только бас + оригинал + читаемая — один чарт. Если выбрано больше — для той же песни генерируются и дополнительные варианты.

[callout info][color=#{purple}]Пресеты[/color] живут отдельно — у слота свой тег [color=#{muted}]_p01[/color]…[color=#{muted}]_p10[/color]. Фильтр «Ноты готовы» в библиотеке следует той же логике.[/callout]"
HELP_why_notes_not_ready_TITLE,Why is the track “not ready” or missing notes?,Почему трек «не готов» или нет нот?
HELP_why_notes_not_ready_SUMMARY,In short: required .rf charts for Chart readiness are missing — Generate notes or narrow the icons.,Коротко: нет нужных .rf под готовность чартов — «Сгенерировать ноты» или сузьте иконки.
HELP_why_notes_not_ready_CONTENT,"[color=#{play}]Play[/color] stays enabled only when every chart from [color=#{primary}]Chart readiness[/color] (instruments × goals × difficulties) exists for the current instrument.

If you see [color=#{danger}]no notes[/color] / [color=#{danger}]generate notes first[/color]:
· press [color=#{mint}]Generate notes[/color] — it queues every selected combination for this song;
· or narrow the readiness icons in [color=#{sky}]Settings → Generation[/color] if you only need one variant;
· make sure BPM is set and the server responds.

[callout tip]Lane count on the library screen does not block readiness: the client remaps the unified chart to the chosen lane count when you play.[/callout]","[color=#{play}]«Играть»[/color] активна, только когда на диске есть все чарты из [color=#{primary}]«Готовности чартов»[/color] (инструменты × цели × сложности) для текущего инструмента.

Если статус [color=#{danger}]«нет нот»[/color] / [color=#{danger}]«сначала сгенерируйте»[/color]:
· нажмите [color=#{mint}]«Сгенерировать ноты»[/color] — в очередь уйдут все выбранные комбинации для этой песни;
· или сузьте иконки готовности в [color=#{sky}]Настройки → Генерация[/color], если нужен один вариант;
· убедитесь, что BPM уже посчитан и сервер отвечает.

[callout tip]Число линий на экране библиотеки не блокирует готовность: клиент пересчитывает unified-чарт под выбранное число линий при игре.[/callout]"
HELP_rhythm_dna_overview_TITLE,What is Rhythm DNA?,Что такое Rhythm DNA?
HELP_rhythm_dna_overview_SUMMARY,In short: beta “About generation” report from .rfd — what the server found and how the drum chart was built.,Коротко: бета-отчёт «О генерации» по .rfd — что сервер нашёл и как собрал чарт ударных.
HELP_rhythm_dna_overview_CONTENT,"[color=#{cat_ach}]Rhythm DNA[/color] (beta) is the [color=#{primary}]generation passport[/color] for a drum chart: a short report on the song card ([color=#{sky}]About generation[/color]).

Inside:
· what was detected in the audio (tempo, kit, groove);
· section structure;
· pipeline (how many events were removed / kept);
· analysis confidence and warnings.

Sidecar file next to the chart: [color=#{muted}].rfd[/color]. Without it, DNA mods on the [color=#{sky}]Modifiers[/color] screen stay unavailable. [color=#{teal}]Bass[/color] has no DNA pipeline yet.

[callout warning]The report and section mods are still being polished — that is what the Beta label means.[/callout]","[color=#{cat_ach}]Rhythm DNA[/color] (бета) — [color=#{primary}]паспорт генерации[/color] для чарта ударных: короткий отчёт рядом с песней ([color=#{sky}]«О генерации»[/color]).

Что внутри:
· что обнаружено в аудио (темп, установка, грув);
· структура секций;
· конвейер (сколько событий убрали / оставили);
· уверенность анализа и предупреждения.

Файл рядом с чартом: [color=#{muted}].rfd[/color] (sidecar). Без него DNA-моды в [color=#{sky}]Модификаторах[/color] недоступны. Для [color=#{teal}]баса[/color] DNA пока не строится.

[callout warning]Отчёт и секции ещё дорабатываются — пометка «Бета» на экране как раз об этом.[/callout]"
HELP_gen_presets_TITLE,What are generation presets and how are they tied to charts?,Что такое пресеты генерации и как они связаны с чартами?
HELP_gen_presets_SUMMARY,In short: 10 parameter slots; each clean active slot gets its own tagged chart.,Коротко: 10 слотов параметров; у каждого чистого активного слота — свой чарт с тегом p01…p10.
HELP_gen_presets_CONTENT,"[flow branch]
tags.svg|purple|Presets button|10 named slots
sparkles.svg|teal|Active slot, unchanged|{inst}_{goal}_{diff}_pNN.rf — its own chart
triangle-alert.svg|pink|Active slot, sliders edited|Tuned badge; dialog before generate
circle-check.svg|primary|Clear active slot|Reset style or re-click goal
[/flow]

[color=#{purple}]Generation presets[/color] — saved sets (instrument, lanes, goal, difficulty, sliders). Open with [color=#{primary}]Presets[/color] on the generation screen.
· A clean slot gets its own file, e.g. [color=#{muted}]drums_arcade_medium_p03.rf[/color] — does not overwrite untagged charts.
· Moved sliders → [color=#{pink}]Tuned[/color] badge.
· Mass generation of all 6 variants is **blocked** while a preset is active.

[callout info]✓ in the list — chart exists for the slot; ⚠ — not yet.[/callout]","[flow branch]
tags.svg|purple|Кнопка «Пресеты»|10 слотов с именами
sparkles.svg|teal|Слот активен, без правок|{inst}_{goal}_{diff}_pNN.rf — свой чарт
triangle-alert.svg|pink|Слот активен, слайдеры изменены|Бейдж «Настроено»; диалог перед генерацией
circle-check.svg|primary|Снять активный слот|«Сбросить стиль» или повторный клик по цели
[/flow]

[color=#{purple}]Пресеты генерации[/color] — сохранённые наборы (инструмент, линии, цель, сложность, слайдеры). Кнопка [color=#{primary}]«Пресеты»[/color] на экране настроек.
· У «чистого» слота свой файл, например [color=#{muted}]drums_arcade_medium_p03.rf[/color] — не затирает чарты без тега.
· Сдвинули слайдеры — бейдж [color=#{pink}]«Настроено»[/color].
· Массовая генерация всех 6 вариантов **недоступна**, пока активен пресет.

[callout info]✓ в списке — чарт для слота уже есть; ⚠ — ещё нет.[/callout]"
HELP_run_modifiers_TITLE,What are run modifiers?,Что такое модификаторы забега?
HELP_run_modifiers_SUMMARY,In short: 36 mods in 4 categories — see Modifier categories and Incompatible modifiers.,"Коротко: 36 модов в 4 категориях — разбор в «Категории модификаторов», конфликты отдельно."
HELP_run_modifiers_CONTENT,"[showcase mod_screen]

Optional run rules: speed, HP, note visibility, lanes, Rhythm DNA, and other gameplay changes. On [color=#{sky}]song select[/color], [color=#{primary}]Modifiers[/color] opens a screen with 36 mods in 4 categories.

Modifiers affect difficulty and the [color=#{teal}]reward multiplier[/color] (XP and currency). The set is kept until changed. Per-category breakdown — [color=#{sky}]Modifier categories[/color]; incompatible pairs — [color=#{sky}]Incompatible modifiers[/color].

· [color=#{mint}]Easing[/color] — Half Time, No Fail, Easy Windows.
· [color=#{danger}]Hardening[/color] — Double Time, Heat, Rush, Strict, Hidden, Sudden, lane mods, and more.
· [color=#{purple}]Special[/color] — fixed speed, Time Warp, single lane, Combo Escalation, Last Chance, autoplay.
· [color=#{cat_ach}]Rhythm DNA[/color] — 8 section-based mods; requires a [color=#{teal}].rfd[/color] sidecar (see [color=#{sky}]Where charts are stored[/color]).
Rhythm DNA is available for percussion; for bass it is not implemented at this time.

[callout info]Incompatible mods turn each other off in the UI. Reward multiplier is shown on the Overview tab.[/callout]

[callout tip]A gear icon on a card means the mod has parameters on the Parameters tab or in the detail panel.[/callout]

[callout warning]A run with [color=#{slate}]autoplay[/color] does not save results and awards no XP/currency.[/callout]","[showcase mod_screen]

Опциональные правила забега: скорость, HP, видимость нот, линии, Rhythm DNA и другие изменения геймплея. На [color=#{sky}]выборе песни[/color] кнопка [color=#{primary}]«Модификаторы»[/color] открывает экран с 36 модами в 4 категориях.

Модификаторы влияют на сложность и [color=#{teal}]множитель награды[/color] (XP и валюта). Набор сохраняется до следующей смены. Разбор по категориям — в [color=#{sky}]«Категории модификаторов»[/color]; несовместимые пары — в [color=#{sky}]«Несовместимые модификаторы»[/color].

· [color=#{mint}]Облегчающие[/color] — Замедление, Без провала, Лёгкие окна.
· [color=#{danger}]Усложняющие[/color] — Ускорение, Разгон, Рывок, Строгий тайминг, Скрытые, Внезапные, моды линий и др.
· [color=#{purple}]Особые[/color] — фикс. скорость, Искажение времени, одна линия, Эскалация по комбо, Последний шанс, автопилот.
· [color=#{cat_ach}]Rhythm DNA[/color] — 8 модов по секциям трека; требуется sidecar [color=#{teal}].rfd[/color] (см. [color=#{sky}]«Где хранятся чарты»[/color]).
На данный момент Rhythm DNA доступен для перкуссии; для баса не реализован.

[callout info]Несовместимые моды отключают друг друга в UI. Множитель награды отображается на вкладке «Обзор».[/callout]

[callout tip]Иконка шестерёнки на карточке означает наличие параметров на вкладке «Параметры» или в detail-панели.[/callout]

[callout warning]Забег с [color=#{slate}]автопилотом[/color] не сохраняет результат и не начисляет XP/валюту.[/callout]"
HELP_run_modifiers_categories_TITLE,Modifier categories,Категории модификаторов
HELP_run_modifiers_categories_SUMMARY,In short: every mod by category — sidebar tab icons.,Коротко: все моды по категориям — иконки вкладок боковой панели.
HELP_run_modifiers_categories_CONTENT,"All **36** mods are split into **4 categories** — sidebar tabs on the modifiers screen. Each category below shows mod icons.

**[color=#{mint}]Easing[/color]** — lowers difficulty and the [color=#{danger}]reward multiplier[/color] (XP and currency).

[showcase modifiers category=easing]

**[color=#{danger}]Hardening[/color]** — raises difficulty and the [color=#{teal}]reward multiplier[/color]. UI subgroups: Speed · Timing · Visibility · Lanes · Audio.

[showcase modifiers category=hardening]

**[color=#{purple}]Special[/color]** — changes run rules; adds [color=#{teal}]0%[/color] to reward (except Combo Escalation and Autoplay — [color=#{danger}]0×[/color] final).

[showcase modifiers category=special]

**[color=#{cat_ach}]Rhythm DNA[/color]** — **8 section-based mods**.
Reward: [color=#{teal}]0%[/color]. Subgroups: Structure · Energy · Density · Behavior.

[showcase modifiers category=dna]

[callout warning]For tracks without Rhythm DNA ([color=#{teal}].rfd[/color] file), DNA mods are unavailable. Rhythm DNA for bass is not implemented at this time — percussion support only. See [color=#{sky}]Where charts are stored[/color].[/callout]

[callout tip]Parameters (HT/DT speed, EZ/ST windows, starting HP, etc.) — Parameters tab or detail panel.[/callout]","Все **36** модов разбиты на **4 категории** — вкладки sidebar на экране модификаторов. Ниже каждая категория с иконками модов.

**[color=#{mint}]Упрощение[/color]** — снижает сложность и [color=#{danger}]множитель награды[/color] (XP и валюта).

[showcase modifiers category=easing]

**[color=#{danger}]Усложнение[/color]** — повышает сложность и [color=#{teal}]множитель награды[/color]. В UI разбито на подгруппы: Скорость · Тайминг · Видимость · Линии · Аудио.

[showcase modifiers category=hardening]

**[color=#{purple}]Особые[/color]** — меняют правила забега; к сумме награды дают [color=#{teal}]0%[/color] (кроме Эскалации по комбо и Автопилота — итог [color=#{danger}]0×[/color]).

[showcase modifiers category=special]

**[color=#{cat_ach}]Rhythm DNA[/color]** — **8 модов** по секциям трека.
Награда — [color=#{teal}]0%[/color]. Подгруппы: Структура · Энергия · Плотность · Поведение.

[showcase modifiers category=dna]

[callout warning]Для треков без Rhythm DNA (файл [color=#{teal}].rfd[/color]) DNA-моды недоступны. На данный момент Rhythm DNA для баса не реализован — поддержка есть у перкуссии. См. [color=#{sky}]«Где хранятся чарты»[/color].[/callout]

[callout tip]Параметры (скорость HT/DT, окна EZ/ST, старт HP и др.) — вкладка «Параметры» или detail-панель.[/callout]"
HELP_run_modifiers_conflicts_TITLE,Incompatible modifiers,Несовместимые модификаторы
HELP_run_modifiers_conflicts_SUMMARY,In short: enabling one mod automatically turns off incompatible ones.,Коротко: при включении одного мода несовместимый снимается автоматически.
HELP_run_modifiers_conflicts_CONTENT,"[showcase mod_conflicts ids=slow_75,fast_150]\n\nEnabling one mod turns the incompatible one **off** in the UI. The same rules apply when loading presets.\n\n**Speed and timing**\n· Half Time ↔ Double Time\n· Easy Windows ↔ Strict Timing\n· No Fail ↔ Sudden Death\n\n**Visibility**\n· Hidden ↔ Sudden\n· Hidden / Sudden ↔ Progressive Memory\n· Density Focus ↔ Hidden, Sudden, Memory, Spotlight\n\n**Lanes**\n· Dynamic Lanes ↔ Single Lane\n· Mirror / Shuffle / Random — only one lane mod; incompatible with each other, Single Lane, Dynamic Lanes, and Combo Escalation\n\n**Combo Escalation**\n· ↔ **all** Hardening mods (except Hidden/Sudden/Memory pairs and HT/DT with each other)\n· Any hardening ↔ Combo Escalation\n\n**Rhythm DNA**\n· Phrase Shift / Groove Lock / Groove Addiction / Adaptive — only **one** Behavior mod\n· Groove Lock ↔ Groove Addiction\n· Energy Pulse ↔ Time Warp, HT, DT\n· Heat ↔ Phrase Shift, Groove Lock, Adaptive, Rush\n· Rush ↔ Heat, Combo Escalation\n· Last Chance ↔ No Fail, Sudden Death, Combo Escalation\n· Reverse Scroll ↔ Phrase Shift, Adaptive\n· Energy Balance ↔ Easy, Strict, Groove Lock/Addiction, Adaptive, Combo Escalation\n· Adaptive ↔ EP, DF, Time Warp, HT, DT, Heat, Strict, Groove Addiction, Energy Balance, visibility mods\n\n[callout info]If a mod is already on and you enable an incompatible one, the old mod is removed automatically. The Overview tab shows the final set.[/callout]","[showcase mod_conflicts ids=slow_75,fast_150]\n\nПри включении одного мода второй **снимается** в UI. Те же правила при загрузке пресета и сохранении набора.\n\n**Скорость и тайминг**\n· Half Time ↔ Double Time\n· Easy Windows ↔ Strict Timing\n· No Fail ↔ Sudden Death\n\n**Видимость**\n· Hidden ↔ Sudden\n· Hidden / Sudden ↔ Progressive Memory\n· Density Focus ↔ Hidden, Sudden, Memory, Spotlight\n\n**Линии**\n· Dynamic Lanes ↔ Single Lane\n· Mirror / Shuffle / Random — только один lane-мод; несовместимы друг с другом, с Single Lane, Dynamic Lanes и Combo Escalation\n\n**Combo Escalation**\n· ↔ **все** моды категории Усложнение (кроме пар Hidden/Sudden/Memory и HT/DT между собой)\n· Любой hardening ↔ Combo Escalation\n\n**Rhythm DNA**\n· Phrase Shift / Groove Lock / Groove Addiction / Adaptive — только **один** Behavior-мод\n· Groove Lock ↔ Groove Addiction\n· Energy Pulse ↔ Time Warp, HT, DT\n· Heat ↔ Phrase Shift, Groove Lock, Adaptive, Rush\n· Rush ↔ Heat, Combo Escalation\n· Last Chance ↔ No Fail, Sudden Death, Combo Escalation\n· Reverse Scroll ↔ Phrase Shift, Adaptive\n· Energy Balance ↔ Easy, Strict, Groove Lock/Addiction, Adaptive, Combo Escalation\n· Adaptive ↔ EP, DF, Time Warp, HT, DT, Heat, Strict, Groove Addiction, Energy Balance, visibility-моды\n\n[callout info]Если мод уже включён и вы включаете несовместимый — старый снимается автоматически. На вкладке «Обзор» видно итоговый набор.[/callout]"
HELP_modifier_presets_TITLE,What are modifier presets?,Что такое пресеты модификаторов?
HELP_modifier_presets_SUMMARY,In short: 10 slots with a saved modifier set — quick loadouts for song select.,Коротко: 10 слотов с сохранённым набором модификаторов — быстрые заготовки для выбора песни.
